balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8117681591940333,0.8555133079847909,0.8516275548826646,0.853566009104704,0.8964742596508701,0.9307843337495909,LR,train,overall,all,2154
0.9953917050691244,1.0,0.9953917050691244,0.997690531177829,,,LR,train,source_type,lab,217
0.7976391643613967,0.827115559599636,0.8233695652173914,0.8252383113935543,0.8774009603841535,0.895566706033304,LR,train,source_type,synthetic,1937
0.7163693794128576,0.8159203980099502,0.7008547008547008,0.7540229885057471,0.7667224080267558,0.8650359227634852,LR,train,train_horizon,8.0,372
0.7793356207111666,0.826271186440678,0.851528384279476,0.8387096774193549,0.8586400499064255,0.9105871783101511,LR,train,train_horizon,10.0,369
0.8350336404855931,0.8616071428571429,0.910377358490566,0.8853211009174312,0.9300862951586955,0.9544955336457439,LR,train,train_horizon,12.0,341
0.8690348298088884,0.8906882591093117,0.9205020920502092,0.9053497942386831,0.953692185909759,0.9692874543522022,LR,train,train_horizon,14.5,387
0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716,,,LR,train,train_horizon,14.75,34
0.8314491264131552,0.8548387096774194,0.8571428571428571,0.8559892328398384,0.9124667920650003,0.9213221099034774,LR,train,train_horizon,16.0,649
0.8377008940815096,0.8603896103896104,0.8576051779935275,0.8589951377633711,0.9260874334924031,0.9355401327375166,LR,train,is_censored,0,545
0.8017856078813037,0.8540218470705064,0.849802371541502,0.8519068845963347,0.8851023894174431,0.9298352926194056,LR,train,is_censored,1,1609
0.8117681591940333,0.8555133079847909,0.8516275548826646,0.853566009104704,0.8964742596508701,0.9307843337495909,LR,train,too_sparse,0,2154
0.8045278499719717,0.8278145695364238,0.8886255924170616,0.8571428571428571,0.8959214527170496,0.9204665708858246,LR,val,overall,all,701
1.0,1.0,1.0,1.0,,,LR,val,source_type,lab,41
0.7985352637371941,0.8106796116504854,0.8766404199475065,0.8423707440100882,0.8858691050715434,0.8977018060726394,LR,val,source_type,synthetic,660
0.5766666666666667,0.6712328767123288,0.6533333333333333,0.6621621621621622,0.6347222222222222,0.7619474217794276,LR,val,train_horizon,8.0,123
0.8455882352941176,0.8533333333333334,0.9411764705882353,0.8951048951048952,0.9184491978609626,0.9275055296598369,LR,val,train_horizon,10.0,112
0.8195934500282327,0.8260869565217391,0.987012987012987,0.8994082840236687,0.9503105590062112,0.9684388588508629,LR,val,train_horizon,12.0,123
0.9015249837767683,0.9014084507042254,0.9552238805970149,0.927536231884058,0.9432186891628812,0.9413890093414936,LR,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,LR,val,train_horizon,14.75,8
0.8431495405179616,0.849624060150376,0.8968253968253969,0.8725868725868726,0.9212197159565582,0.929203370458812,LR,val,train_horizon,16.0,221
0.85423213911586,0.8672566371681416,0.8828828828828829,0.8750000000000001,0.9368321810182275,0.943354195316453,LR,val,is_censored,0,197
0.7821251853456175,0.8147058823529412,0.8906752411575563,0.8509984639016897,0.8775802608999883,0.9134330619340735,LR,val,is_censored,1,504
0.8045278499719717,0.8278145695364238,0.8886255924170616,0.8571428571428571,0.8959214527170496,0.9204665708858246,LR,val,too_sparse,0,701
0.804294112973703,0.8349753694581281,0.8268292682926829,0.8308823529411765,0.8911893223166759,0.916536717876364,LR,test,overall,all,717
1.0,1.0,1.0,1.0,,,LR,test,source_type,lab,78
0.783951767983988,0.7957317073170732,0.786144578313253,0.7909090909090908,0.8677151603155293,0.8697373621319363,LR,test,source_type,synthetic,639
0.6924473493100944,0.7857142857142857,0.6790123456790124,0.728476821192053,0.7475187605906559,0.8522738427477932,LR,test,train_horizon,8.0,132
0.814625850340136,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.8982426303854876,0.9327825758895478,LR,test,train_horizon,10.0,121
0.8469328703703703,0.8133333333333334,0.953125,0.8776978417266187,0.9389467592592593,0.9460924478228033,LR,test,train_horizon,12.0,118
0.8895500725689405,0.90625,0.8923076923076924,0.8992248062015504,0.9587808417997097,0.9637496364401297,LR,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,LR,test,train_horizon,14.75,18
0.7854545454545454,0.7981651376146789,0.7909090909090909,0.7945205479452055,0.880090909090909,0.8726870580854404,LR,test,train_horizon,16.0,210
0.7886971742935733,0.8160919540229885,0.7634408602150538,0.7888888888888889,0.9002250562640661,0.8886504038513551,LR,test,is_censored,0,179
0.8073283183693278,0.8401253918495298,0.8454258675078864,0.8427672955974842,0.8880340294331758,0.9231305174907041,LR,test,is_censored,1,538
0.804294112973703,0.8349753694581281,0.8268292682926829,0.8308823529411765,0.8911893223166759,0.916536717876364,LR,test,too_sparse,0,717
1.0,1.0,1.0,1.0,1.0,0.9999999999999999,RF,train,overall,all,2154
1.0,1.0,1.0,1.0,,,RF,train,source_type,lab,217
1.0,1.0,1.0,1.0,0.9999999999999999,1.0,RF,train,source_type,synthetic,1937
1.0,1.0,1.0,1.0,1.0,0.9999999999999998,RF,train,train_horizon,8.0,372
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,10.0,369
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,12.0,341
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,14.5,387
1.0,1.0,1.0,1.0,,,RF,train,train_horizon,14.75,34
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,train_horizon,16.0,649
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,is_censored,0,545
1.0,1.0,1.0,1.0,1.0,1.0,RF,train,is_censored,1,1609
1.0,1.0,1.0,1.0,1.0,0.9999999999999999,RF,train,too_sparse,0,2154
0.8407693353038102,0.8476394849785408,0.9360189573459715,0.8896396396396397,0.930854949124327,0.9451514183751053,RF,val,overall,all,701
1.0,1.0,1.0,1.0,,,RF,val,source_type,lab,41
0.8373267857646827,0.8329411764705882,0.9291338582677166,0.8784119106699751,0.9235646619441387,0.9283365969863767,RF,val,source_type,synthetic,660
0.5875,0.6666666666666666,0.8,0.7272727272727272,0.7333333333333334,0.8265544765969012,RF,val,train_horizon,8.0,123
0.8870320855614974,0.8904109589041096,0.9558823529411765,0.9219858156028369,0.9461898395721925,0.9560342214437336,RF,val,train_horizon,10.0,112
0.9130434782608696,0.9058823529411765,1.0,0.9506172839506173,0.957227555053642,0.9647679877297026,RF,val,train_horizon,12.0,123
0.8981181051265412,0.8904109589041096,0.9701492537313433,0.9285714285714287,0.9597663854639845,0.9620073378428633,RF,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,RF,val,train_horizon,14.75,8
0.882748538011696,0.875,0.9444444444444444,0.9083969465648855,0.9444862155388472,0.950783478373859,RF,val,train_horizon,16.0,221
0.8987010266080033,0.896551724137931,0.9369369369369369,0.9162995594713657,0.9538550178085061,0.9582644153415912,RF,val,is_censored,0,197
0.8149959182313447,0.8314285714285714,0.9356913183279743,0.880484114977307,0.9188477750195758,0.9402956777106765,RF,val,is_censored,1,504
0.8407693353038102,0.8476394849785408,0.9360189573459715,0.8896396396396397,0.930854949124327,0.9451514183751053,RF,val,too_sparse,0,701
0.8429172956224676,0.8498845265588915,0.8975609756097561,0.8730723606168447,0.9354850242313497,0.9510318108619369,RF,test,overall,all,717
1.0,1.0,1.0,1.0,,,RF,test,source_type,lab,78
0.8308837957693969,0.8169014084507042,0.8734939759036144,0.8442503639010189,0.920347513833837,0.9225837615397916,RF,test,source_type,synthetic,639
0.6917211328976034,0.75,0.8148148148148148,0.7810650887573963,0.7949648995400629,0.8734920006496263,RF,test,train_horizon,8.0,132
0.8664965986394557,0.88,0.9166666666666666,0.8979591836734694,0.9162414965986395,0.9397906361002584,RF,test,train_horizon,10.0,121
0.8561921296296297,0.8243243243243243,0.953125,0.8840579710144927,0.9684606481481481,0.9743089226943122,RF,test,train_horizon,12.0,118
0.9066763425253992,0.921875,0.9076923076923077,0.9147286821705427,0.979100145137881,0.9826793601753885,RF,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,RF,test,train_horizon,14.75,18
0.8654545454545455,0.8596491228070176,0.8909090909090909,0.875,0.9463636363636364,0.9441127913020027,RF,test,train_horizon,16.0,210
0.8769067266816704,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.9523630907726931,0.9465630917562827,RF,test,is_censored,0,179
