FileName,Test Id,Model Name,Is_Valid,had_outliers,source_type,is_synthetic,base_curve_id,aug_id,tmax_original,train_horizon,observed_tmax,is_censored,n_points_observed,max_gap_hours,median_dt_hours,missing_frac_on_grid,low_resolution,too_sparse,initial_OD,final_OD,max_OD,min_OD,range_OD,auc,auc_per_hour,net_change_per_hour,max_slope,time_of_max_slope,time_of_max_OD,monotonicity_fraction,largest_drop_frac,dip_fraction,roughness,noise_residual_std,lag_time,lag_time_est,plateau_OD,growth_phase_duration,symmetry_factor,final_to_peak_ratio,time_to_peak,num_slope_sign_changes,multi_phase_flag,logistic_fit_mse,logistic_AIC,gompertz_AIC,richards_AIC,flat_AIC,best_model_AIC,best_model_name,has_late_data,late_window_start,late_tmax,late_n_points,late_slope,late_delta,late_max_increase,late_growth_detected
SD,SD_1,Richards_Invalid_Collapse,0,0,lab,0,SD_1_A,SD_1_A_H10,16.0,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.02638918737384837,1.0,1.0,0.0,1.0,4.691967664940981,0.46919676649409814,0.09736108126261517,0.4690991003307432,5.5,10.0,0.7,0.029655603129636332,0.06791679401800815,0.07522068650360896,0.10184880991783386,4.5,4.5,0.9843596949669005,2.5,1.0,1.0,10.0,4,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_1,Richards_Invalid_Collapse,0,0,lab,0,SD_1_A,SD_1_A_H12,16.0,12.0,12.0,1,25,0.5,0.5,0.0,0,0,0.024231527106786815,0.030260803157699197,1.0,0.0,1.0,5.112377757042902,0.42603147975357514,0.0005024396709093652,0.4307441303288623,5.5,10.0,0.5833333333333334,0.40139489150231045,1.032102907097522,0.13625788839827427,0.07253108887775526,4.5,4.5,0.18633889112891788,5.5,0.8333333333333334,0.030260803157699197,10.0,5,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_1,Richards_Invalid_Collapse,0,0,lab,0,SD_1_A,SD_1_A_H14.5,16.0,14.5,14.5,1,30,0.5,0.5,0.0,0,0,0.03083291361330822,0.0,1.0,0.0,1.0,5.295040841874987,0.365175230474137,-0.0021264078354005667,0.4278300082100308,5.5,10.0,0.5517241379310345,0.39867932639218423,1.1557642002113049,0.12994565795352014,0.07416057639654508,4.5,4.5,0.0779767653648366,5.5,0.6896551724137931,0.0,10.0,9,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_10,ModifiedGompertz_Invalid_Obvious,0,0,lab,0,SD_10_A,SD_10_A_H10,16.0,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.0,0.2557622021835741,1.0,0.0,1.0,4.476577324150833,0.44765773241508333,0.02557622021835741,0.37451050424026044,10.0,7.5,0.8,0.3440113545867282,0.931493049936556,0.1415417392371612,0.08594461392971041,2.5,2.5,0.18263038533342071,4.5,0.75,0.2557622021835741,7.5,2,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_10,ModifiedGompertz_Invalid_Obvious,0,0,lab,0,SD_10_A,SD_10_A_H12,16.0,12.0,12.0,1,25,0.5,0.5,0.0,0,0,0.0,0.15860090225918272,1.0,0.0,1.0,4.86525122555932,0.40543760212994334,0.013216741854931893,0.32016740744527683,3.0,7.5,0.7083333333333334,0.3440113545867282,0.9326925967176083,0.12456001065974887,0.0719526897951982,2.5,2.5,0.16892336053394974,4.5,0.625,0.15860090225918272,7.5,5,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_10,ModifiedGompertz_Invalid_Obvious,0,0,lab,0,SD_10_A,SD_10_A_H16,16.0,16.0,16.0,0,33,0.5,0.5,0.0,0,0,0.0,0.16703381987992336,1.0,0.0,1.0,5.620005552142661,0.35125034700891633,0.01043961374249521,0.32016740744527683,3.0,7.5,0.6875,0.3440113545867282,1.0110513852627547,0.10852684419957691,0.06314281640941886,2.5,2.5,0.20395630691176622,4.5,0.46875,0.16703381987992336,7.5,9,1,,,,,,,,0,16.0,,0,,,,0
SD,SD_100,ModifiedGompertz_Invalid_NearReal,0,0,lab,0,SD_100_A,SD_100_A_H8,16.0,8.0,8.0,1,17,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,4.366641824750705,0.5458302280938381,0.125,0.3966290536939947,5.0,8.0,0.8125,0.09735324719710803,0.1790752864118006,0.0791350952917213,0.12085648110271129,0.5,0.5,0.9645675802942044,6.5,1.0,1.0,8.0,6,1,,,,,,,,0,16.0,,0,,,,0
SD,SD_100,ModifiedGompertz_Invalid_NearReal,0,0,lab,0,SD_100_A,SD_100_A_H10,16.0,10.0,10.0,1,21,0.5,0.5,0.0,0,0,0.0,0.7323549151833766,1.0,0.0,1.0,3.202669542868016,0.32026695428680163,0.07323549151833766,0.6863078783174309,8.5,9.0,0.7,0.25724010002092,0.3400339723549307,0.11547239115423376,0.10254710743753186,2.0,2.0,0.8609749651938365,7.0,0.9,0.7323549151833766,9.0,9,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_100,ModifiedGompertz_Invalid_NearReal,0,0,lab,0,SD_100_A,SD_100_A_H14.5,16.0,14.5,14.5,1,30,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,6.38854721181487,0.4405894628837841,0.06896551724137931,0.5891192211518003,8.5,14.5,0.7241379310344828,0.1948116076861962,0.3292770130771445,0.0853104577554715,0.10617822209421816,2.0,2.0,0.8989918329535579,10.5,1.0,1.0,14.5,12,0,,,,,,,,0,16.0,,0,,,,0
SD,SD_101,ModifiedGompertz_VALID_late,1,0,lab,0,SD_101_A,SD_101_A_H8,16.0,8.0,8.0,1,17,0.5,0.5,0.0,0,0,0.0,1.0,1.0,0.0,1.0,3.1492533040990223,0.3936566630123778,0.125,0.2751952849272583,8.0,8.0,0.875,0.0737328249404173,0.0840384477225074,0.054970629446851174,0.12548451084124987,1.0,1.0,0.8624023575363708,7.0,1.0,1.0,8.0,2,0,,,,,,,,0,16.0,,0,,,,0
