,mean_permutation_importance
largest_drop_frac,0.12512780659071496
growth_phase_duration,0.01522872450224114
multi_phase_flag,0.013802259705930913
auc_per_hour,0.011384297578590327
max_slope,0.010241641065434915
final_OD,0.005277811220370182
lag_time_est,0.003731210683430889
roughness,0.003707089361081127
n_points_observed,0.0021847863920438724
missing_frac_on_grid,0.002053876452541919
net_change_per_hour,0.0019138350145607446
max_gap_hours,0.0016410924428626494
observed_tmax,0.000996145689562246
noise_residual_std,0.0009018700186437118
monotonicity_fraction,-0.0004035222358374821
initial_OD,-0.0007229317178122936
