,observed_tmax,n_points_observed,max_gap_hours,missing_frac_on_grid,initial_OD,final_OD,net_change_per_hour,max_slope,auc_per_hour,lag_time_est,growth_phase_duration,monotonicity_fraction,largest_drop_frac,multi_phase_flag,roughness,noise_residual_std
observed_tmax,1.0,0.5112741464868651,0.4202469408222954,0.4031168229623569,-0.04158109693064633,-0.20089884072661945,-0.5370812563544742,-0.13028830215201787,0.16164148116427302,0.14402321968894624,0.09065637733753187,-0.15338668581112083,0.029815748320846495,0.04063945738565286,-0.2366054767634509,-0.6326011411032506
n_points_observed,0.5112741464868651,1.0,-0.4370823834833039,-0.36123059954556147,-0.12896554039635091,0.06782531102654904,-0.15782726879274456,-0.2596689275351885,0.10220334505046826,0.05830529541745216,0.23404106804073435,0.15180581165312484,-0.2100710752864438,-0.04370231802439805,-0.36783910513660883,-0.38305230500082416
max_gap_hours,0.4202469408222954,-0.4370823834833039,1.0,0.85077209649035,0.04212042130578029,-0.20058343193361594,-0.29956509042137164,0.08986706233086993,0.07619615855055832,0.059453469955600934,-0.0979921496332031,-0.2289355475110353,0.15422034447195615,0.04902396424970541,0.0750189453866507,-0.23801501040748113
missing_frac_on_grid,0.4031168229623569,-0.36123059954556147,0.85077209649035,1.0,-0.06432717333397817,-0.08433664882347724,-0.20491701076657906,-0.09054826076615706,0.09013135145888107,0.03898128978209597,0.05246106699149094,-0.06593019237149195,-0.024232702993582128,0.011719054572109054,-0.12419189438805199,-0.2865298351464307
initial_OD,-0.04158109693064633,-0.12896554039635091,0.04212042130578029,-0.06432717333397817,1.0,-0.3738795396034248,-0.45316027916736795,0.24142297233572294,-0.30342802133827845,0.22290838802785165,-0.12652508821314892,-0.551520417024644,0.5276115243492716,-0.04927856959838593,0.3508597524339159,0.35039414773314015
final_OD,-0.20089884072661945,0.06782531102654904,-0.20058343193361594,-0.08433664882347724,-0.3738795396034248,1.0,0.7879487507068899,-0.14965482336571223,-0.01695981772918491,0.14449915185253748,0.1980924657733388,0.6376811371264668,-0.7009921699744643,-0.15346947001564243,-0.36052843787935107,0.10856884813762634
net_change_per_hour,-0.5370812563544742,-0.15782726879274456,-0.29956509042137164,-0.20491701076657906,-0.45316027916736795,0.7879487507068899,1.0,-0.08030388330213195,0.04556763793311247,-0.00525593850567309,0.005587777776579082,0.6194689802818992,-0.640462124896409,-0.12465305637731357,-0.2176156002952879,0.20930637794542803
max_slope,-0.13028830215201787,-0.2596689275351885,0.08986706233086993,-0.09054826076615706,0.24142297233572294,-0.14965482336571223,-0.08030388330213195,1.0,-0.07624209664467468,-0.0632534354145206,-0.6203227447425741,-0.44830638963913017,0.47590324792086497,0.18958508672070132,0.8862327920386742,0.530568321207689
auc_per_hour,0.16164148116427302,0.10220334505046826,0.07619615855055832,0.09013135145888107,-0.30342802133827845,-0.01695981772918491,0.04556763793311247,-0.07624209664467468,1.0,-0.6754765978502673,0.03540783501659581,0.1217105100648776,-0.14050911599042176,0.1145970145079495,-0.1429035735489236,-0.2887048910137141
lag_time_est,0.14402321968894624,0.05830529541745216,0.059453469955600934,0.03898128978209597,0.22290838802785165,0.14449915185253748,-0.00525593850567309,-0.0632534354145206,-0.6754765978502673,1.0,-0.2353449113904139,-0.02594070067878805,-0.16570737580158634,-0.3885059723088107,-0.1409982513483128,-0.14978876351467904
growth_phase_duration,0.09065637733753187,0.23404106804073435,-0.0979921496332031,0.05246106699149094,-0.12652508821314892,0.1980924657733388,0.005587777776579082,-0.6203227447425741,0.03540783501659581,-0.2353449113904139,1.0,0.47700167312569963,-0.11019184629370642,0.19770702184762867,-0.5278882431338284,-0.18794636245793422
monotonicity_fraction,-0.15338668581112083,0.15180581165312484,-0.2289355475110353,-0.06593019237149195,-0.551520417024644,0.6376811371264668,0.6194689802818992,-0.44830638963913017,0.1217105100648776,-0.02594070067878805,0.47700167312569963,1.0,-0.6133814374395707,-0.097926834623267,-0.5051214653270644,-0.17491649062488906
largest_drop_frac,0.029815748320846495,-0.2100710752864438,0.15422034447195615,-0.024232702993582128,0.5276115243492716,-0.7009921699744643,-0.640462124896409,0.47590324792086497,-0.14050911599042176,-0.16570737580158634,-0.11019184629370642,-0.6133814374395707,1.0,0.3178992186821827,0.6960181105864632,0.28445800213015016
multi_phase_flag,0.04063945738565286,-0.04370231802439805,0.04902396424970541,0.011719054572109054,-0.04927856959838593,-0.15346947001564243,-0.12465305637731357,0.18958508672070132,0.1145970145079495,-0.3885059723088107,0.19770702184762867,-0.097926834623267,0.3178992186821827,1.0,0.22658201653741192,0.13670445761055283
roughness,-0.2366054767634509,-0.36783910513660883,0.0750189453866507,-0.12419189438805199,0.3508597524339159,-0.36052843787935107,-0.2176156002952879,0.8862327920386742,-0.1429035735489236,-0.1409982513483128,-0.5278882431338284,-0.5051214653270644,0.6960181105864632,0.22658201653741192,1.0,0.5641299642332764
noise_residual_std,-0.6326011411032506,-0.38305230500082416,-0.23801501040748113,-0.2865298351464307,0.35039414773314015,0.10856884813762634,0.20930637794542803,0.530568321207689,-0.2887048910137141,-0.14978876351467904,-0.18794636245793422,-0.17491649062488906,0.28445800213015016,0.13670445761055283,0.5641299642332764,1.0
