feature,n_valid,n_invalid,mannwhitney_p,rank_biserial_r,single_feature_auc
largest_drop_frac,2153,1419,3.462464929062019e-259,0.678999131617976,0.839499565808988
final_OD,2153,1419,5.0867343320645264e-161,-0.528407679338236,0.764203839669118
net_change_per_hour,2153,1419,3.153856953304584e-139,-0.49592927514486407,0.747964637572432
monotonicity_fraction,2153,1419,1.790105173407502e-70,-0.35021162924899185,0.6751058146244959
initial_OD,2153,1419,2.519107688375321e-69,0.3423929178257914,0.6711964589128958
roughness,2153,1419,1.705818033599473e-59,0.3211720571488985,0.6605860285744493
multi_phase_flag,2152,1419,6.110993506929608e-66,0.18601278192140125,0.5930155637756713
auc_per_hour,2153,1419,1.3847288425453768e-18,-0.17372386629993652,0.5868619331499683
noise_residual_std,2153,1419,4.652591137348503e-18,0.171017578107739,0.5855087890538695
growth_phase_duration,1998,912,5.4919381274246226e-17,0.1923167685229089,0.571994368773336
lag_time_est,2136,1176,4.7311350901346945e-11,-0.1375027070753394,0.5571259860947587
n_points_observed,2153,1419,4.7454946555650593e-07,-0.09852453612917644,0.5492622680645882
max_slope,2153,1419,0.0020703409977673765,0.060811945375399246,0.5304059726876997
max_gap_hours,2153,1419,0.0018774232518797397,0.04860680820671748,0.5243034041033587
observed_tmax,2153,1419,0.015000473742555467,0.04708738515541355,0.5235436925777068
missing_frac_on_grid,2153,1419,0.0011706434603502257,-0.04408323505526979,0.5220416175276349
