balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.7939372569618309,0.8179959100204499,0.9084027252081757,0.8608321377331422,0.852859841892851,0.8903039320240087,LR,train,overall,all,2154
1.0,1.0,1.0,1.0,,,LR,train,source_type,lab,217
0.7849351697200619,0.7864,0.8903985507246377,0.8351741716227697,0.858336812986064,0.886080746684138,LR,train,source_type,synthetic,1937
0.657190635451505,0.7436974789915967,0.7564102564102564,0.75,0.6637247615508486,0.7571749832419287,LR,train,train_horizon,8.0,372
0.7618839675608234,0.7976653696498055,0.8951965065502183,0.8436213991769548,0.795134123518403,0.8457613997100661,LR,train,train_horizon,10.0,369
0.8169884452245137,0.8203125,0.9905660377358491,0.8974358974358975,0.887340939008337,0.902923212581938,LR,train,train_horizon,12.0,341
0.8704907836707,0.8721804511278195,0.9707112970711297,0.9188118811881187,0.9408289042180256,0.9545854938233244,LR,train,train_horizon,14.5,387
1.0,1.0,1.0,1.0,,,LR,train,train_horizon,14.75,34
0.8251274990789039,0.821256038647343,0.9164420485175202,0.8662420382165604,0.907502569373073,0.9214174314340816,LR,train,train_horizon,16.0,649
0.8260723492951566,0.8184438040345822,0.919093851132686,0.8658536585365855,0.9176539959409796,0.9307377484530306,LR,train,is_censored,0,545
0.7817148986036904,0.8178571428571428,0.9051383399209486,0.8592870544090057,0.8279324819088856,0.875241171712999,LR,train,is_censored,1,1609
0.7939372569618309,0.8179959100204499,0.9084027252081757,0.8608321377331422,0.852859841892851,0.8903039320240087,LR,train,too_sparse,0,2154
0.7685071939390851,0.7813121272365805,0.9312796208530806,0.8497297297297297,0.8687254752076646,0.9007431522516808,LR,val,overall,all,701
1.0,1.0,1.0,1.0,,,LR,val,source_type,lab,41
0.7648096407303926,0.7619047619047619,0.9238845144356955,0.8351126927639383,0.8756338253417247,0.9010665260084391,LR,val,source_type,synthetic,660
0.54,0.6363636363636364,0.7466666666666667,0.6871165644171779,0.6141666666666666,0.7530946775341338,LR,val,train_horizon,8.0,123
0.7881016042780749,0.788235294117647,0.9852941176470589,0.8758169934640523,0.8826871657754011,0.9026739104956472,LR,val,train_horizon,10.0,112
