model,metric,count,mean,std,min,25%,50%,75%,max
HGB,balanced_acc,10.0,0.835984652016067,0.017516364634402835,0.8011866913752359,0.8290192613242477,0.839400881883854,0.8449422471022494,0.8606848364557615
HGB,f1,10.0,0.8689149106830841,0.011941254238515896,0.8561946902654868,0.8598631247525501,0.865529095050735,0.8754791103720639,0.8938053097345133
HGB,pr_auc,10.0,0.944972182238917,0.009970172321778025,0.923531528513617,0.9386012992609323,0.9485375452677262,0.9514628374455792,0.9552170576288322
HGB,precision,10.0,0.8760260224169996,0.020540332115417136,0.8444444444444444,0.8617463617463618,0.8781483982905784,0.8913013049657608,0.9069212410501192
HGB,recall,10.0,0.8624934139939102,0.020485606477778914,0.8278867102396514,0.8537606488505076,0.8643688986949192,0.8761634264074459,0.8898678414096917
HGB,roc_auc,10.0,0.9180883572219548,0.013501740568990981,0.8904003170828378,0.9172757846302635,0.921027848527192,0.9271529373405433,0.9311944955596448
LR,balanced_acc,10.0,0.7942838229751643,0.02450936022832099,0.7522988505747126,0.7849911395233515,0.7966880876974547,0.8107827618222468,0.8318713450292398
LR,f1,10.0,0.8599391188728125,0.013517202241585605,0.8361344537815125,0.8514854256879965,0.8568547956897472,0.8724575329064391,0.8774869109947644
LR,pr_auc,10.0,0.8949889228768869,0.018110048487458515,0.8730198187101589,0.8821210515212148,0.8907526022819814,0.9060207357399519,0.9258377843307768
LR,precision,10.0,0.8157572430195852,0.02773807146535054,0.769825918762089,0.7980661619486504,0.8103860721642635,0.8337051452439719,0.8556485355648535
LR,recall,10.0,0.9099706342953848,0.012901350447530109,0.8910675381263616,0.9013075651986493,0.9130787410033301,0.9181621132561418,0.930952380952381
LR,roc_auc,10.0,0.8587933289184709,0.016052687433770866,0.8384350748059844,0.8435818264868171,0.8593415354619577,0.86818814397201,0.8831721132897603
RF,balanced_acc,10.0,0.8242638421777855,0.013225413704124106,0.796551724137931,0.817667751307761,0.8302182189079511,0.8332830992306307,0.838087145969499
RF,f1,10.0,0.8708618677526418,0.00970664617093616,0.8543263964950711,0.8653791232329002,0.8703299782639977,0.8786164966278779,0.8840262582056894
RF,pr_auc,10.0,0.9422864721375326,0.01011712735044118,0.9235071809190116,0.9363434890103467,0.9445855053836136,0.9506962783441526,0.9533024364449144
RF,precision,10.0,0.8501597045541084,0.022921577210640448,0.8158995815899581,0.836752234133196,0.8432308386837881,0.8636605931382051,0.8879120879120879
RF,recall,10.0,0.8932257576792575,0.015175556386841937,0.8801742919389978,0.8821053005542134,0.8906621761095117,0.8975718057444595,0.930952380952381
RF,roc_auc,10.0,0.915766884915955,0.014096458122326832,0.8883551327784384,0.9118625583823413,0.9196971441466371,0.9241283805056643,0.9307388075330658
